date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:10	6685/6685	---M-Z	200	added ('OK')	text/html	etag:W/%22676a72e6-1a1d%22	https://themewagon.github.io/Kelly/index.html	./kelly-site/themewagon.github.io/Kelly/index.html	(from )
10:51:12	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2268226bb0-239b%22	https://themewagon.github.io/robots.txt		(from )
10:51:12	1156/1156	---M--	200	added ('OK')	image/png	etag:%22676a72e6-484%22	https://themewagon.github.io/Kelly/assets/img/favicon.png	./kelly-site/themewagon.github.io/Kelly/assets/img/favicon.png	(from https://themewagon.github.io/Kelly/index.html)
10:51:13	7489/7489	---M--	200	added ('OK')	image/png	etag:%22676a72e6-1d41%22	https://themewagon.github.io/Kelly/assets/img/apple-touch-icon.png	./kelly-site/themewagon.github.io/Kelly/assets/img/apple-touch-icon.png	(from https://themewagon.github.io/Kelly/index.html)
10:51:15	232803/232803	---M-Z	200	added ('OK')	text/css	etag:W/%22676a72e6-38d63%22	https://themewagon.github.io/Kelly/assets/vendor/bootstrap/css/bootstrap.min.css	./kelly-site/themewagon.github.io/Kelly/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://themewagon.github.io/Kelly/index.html)
10:51:16	98255/98255	---M-Z	200	added ('OK')	text/css	etag:W/%22676a72e6-17fcf%22	https://themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/bootstrap-icons.css	./kelly-site/themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://themewagon.github.io/Kelly/index.html)
10:51:16	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%22676a72e6-705d%22	https://themewagon.github.io/Kelly/assets/vendor/aos/aos.css	./kelly-site/themewagon.github.io/Kelly/assets/vendor/aos/aos.css	(from https://themewagon.github.io/Kelly/index.html)
10:51:17	18432/18432	---M-Z	200	added ('OK')	text/css	etag:W/%22676a72e6-4800%22	https://themewagon.github.io/Kelly/assets/vendor/swiper/swiper-bundle.min.css	./kelly-site/themewagon.github.io/Kelly/assets/vendor/swiper/swiper-bundle.min.css	(from https://themewagon.github.io/Kelly/index.html)
10:51:18	13749/13749	---M-Z	200	added ('OK')	text/css	etag:W/%22676a72e6-35b5%22	https://themewagon.github.io/Kelly/assets/vendor/glightbox/css/glightbox.min.css	./kelly-site/themewagon.github.io/Kelly/assets/vendor/glightbox/css/glightbox.min.css	(from https://themewagon.github.io/Kelly/index.html)
10:51:19	30762/30762	---M-Z	200	added ('OK')	text/css	etag:W/%22676a72e6-782a%22	https://themewagon.github.io/Kelly/assets/css/main.css	./kelly-site/themewagon.github.io/Kelly/assets/css/main.css	(from https://themewagon.github.io/Kelly/index.html)
10:51:20	19000/19000	---M-Z	200	added ('OK')	text/html	etag:W/%22676a72e6-4a38%22	https://themewagon.github.io/Kelly/about.html	./kelly-site/themewagon.github.io/Kelly/about.html	(from https://themewagon.github.io/Kelly/index.html)
10:51:21	9898/9898	---M-Z	200	added ('OK')	text/html	etag:W/%22676a72e6-26aa%22	https://themewagon.github.io/Kelly/resume.html	./kelly-site/themewagon.github.io/Kelly/resume.html	(from https://themewagon.github.io/Kelly/index.html)
10:51:22	16101/16101	---M-Z	200	added ('OK')	text/html	etag:W/%22676a72e6-3ee5%22	https://themewagon.github.io/Kelly/services.html	./kelly-site/themewagon.github.io/Kelly/services.html	(from https://themewagon.github.io/Kelly/index.html)
10:51:23	13592/13592	---M-Z	200	added ('OK')	text/html	etag:W/%22676a72e6-3518%22	https://themewagon.github.io/Kelly/portfolio.html	./kelly-site/themewagon.github.io/Kelly/portfolio.html	(from https://themewagon.github.io/Kelly/index.html)
10:51:24	9715/9715	---M-Z	200	added ('OK')	text/html	etag:W/%22676a72e6-25f3%22	https://themewagon.github.io/Kelly/contact.html	./kelly-site/themewagon.github.io/Kelly/contact.html	(from https://themewagon.github.io/Kelly/index.html)
10:51:26	120506/120506	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-1d6ba%22	https://themewagon.github.io/Kelly/assets/img/hero-bg.jpg	./kelly-site/themewagon.github.io/Kelly/assets/img/hero-bg.jpg	(from https://themewagon.github.io/Kelly/index.html)
10:51:26	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-13b51%22	https://themewagon.github.io/Kelly/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	./kelly-site/themewagon.github.io/Kelly/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/Kelly/index.html)
10:51:27	2734/2734	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-aae%22	https://themewagon.github.io/Kelly/assets/vendor/php-email-form/validate.js	./kelly-site/themewagon.github.io/Kelly/assets/vendor/php-email-form/validate.js	(from https://themewagon.github.io/Kelly/index.html)
10:51:28	13800/13800	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-35e8%22	https://themewagon.github.io/Kelly/assets/vendor/aos/aos.js	./kelly-site/themewagon.github.io/Kelly/assets/vendor/aos/aos.js	(from https://themewagon.github.io/Kelly/index.html)
10:51:29	21112/21112	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-5278%22	https://themewagon.github.io/Kelly/assets/vendor/waypoints/noframework.waypoints.js	./kelly-site/themewagon.github.io/Kelly/assets/vendor/waypoints/noframework.waypoints.js	(from https://themewagon.github.io/Kelly/index.html)
10:51:30	5417/5417	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-1529%22	https://themewagon.github.io/Kelly/assets/vendor/purecounter/purecounter_vanilla.js	./kelly-site/themewagon.github.io/Kelly/assets/vendor/purecounter/purecounter_vanilla.js	(from https://themewagon.github.io/Kelly/index.html)
10:51:32	151102/151102	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-24e3e%22	https://themewagon.github.io/Kelly/assets/vendor/swiper/swiper-bundle.min.js	./kelly-site/themewagon.github.io/Kelly/assets/vendor/swiper/swiper-bundle.min.js	(from https://themewagon.github.io/Kelly/index.html)
10:51:32	56300/56300	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-dbec%22	https://themewagon.github.io/Kelly/assets/vendor/glightbox/js/glightbox.min.js	./kelly-site/themewagon.github.io/Kelly/assets/vendor/glightbox/js/glightbox.min.js	(from https://themewagon.github.io/Kelly/index.html)
10:51:33	5485/5485	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-156d%22	https://themewagon.github.io/Kelly/assets/vendor/imagesloaded/imagesloaded.pkgd.min.js	./kelly-site/themewagon.github.io/Kelly/assets/vendor/imagesloaded/imagesloaded.pkgd.min.js	(from https://themewagon.github.io/Kelly/index.html)
10:51:34	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-8a75%22	https://themewagon.github.io/Kelly/assets/vendor/isotope-layout/isotope.pkgd.min.js	./kelly-site/themewagon.github.io/Kelly/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://themewagon.github.io/Kelly/index.html)
10:51:35	5153/5153	---M-Z	200	added ('OK')	application/javascript	etag:W/%22676a72e6-1421%22	https://themewagon.github.io/Kelly/assets/js/main.js	./kelly-site/themewagon.github.io/Kelly/assets/js/main.js	(from https://themewagon.github.io/Kelly/index.html)
10:51:38	130396/130396	---M--	200	added ('OK')	font/woff2	etag:%22676a72e6-1fd5c%22	https://themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6	./kelly-site/themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/fonts/bootstrap-icons0107.woff2	(from https://themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/bootstrap-icons.css)
10:51:38	176032/176032	---M--	200	added ('OK')	font/woff	etag:%22676a72e6-2afa0%22	https://themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?dd67030699838ea613ee6dbda90effa6	./kelly-site/themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/fonts/bootstrap-icons0107.woff	(from https://themewagon.github.io/Kelly/assets/vendor/bootstrap-icons/bootstrap-icons.css)
10:51:39	41647/41647	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-a2af%22	https://themewagon.github.io/Kelly/assets/img/profile-img.jpg	./kelly-site/themewagon.github.io/Kelly/assets/img/profile-img.jpg	(from https://themewagon.github.io/Kelly/about.html)
10:51:39	39727/39727	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-9b2f%22	https://themewagon.github.io/Kelly/assets/img/testimonials/testimonials-1.jpg	./kelly-site/themewagon.github.io/Kelly/assets/img/testimonials/testimonials-1.jpg	(from https://themewagon.github.io/Kelly/about.html)
